1	0
2	0
3	1
4	1
5	0
6	1
7	1
8	1
9	0
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	0
22	0
23	0
24	1
25	1
26	0
27	1
28	1
29	0
30	1
31	1
32	1
33	0
34	1
35	1
36	0
37	1
38	0
39	1
40	1
41	1
42	0
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	0
55	0
56	1
57	0
58	0
59	1
60	0
61	0
62	0
63	0
64	1
65	1
66	1
67	1
68	1
69	0
70	0
71	1
72	0
73	0
74	0
75	1
76	0
77	1
78	0
79	0
80	1
81	1
82	0
83	1
84	0
85	1
86	0
87	1
88	1
89	0
90	0
91	0
92	1
93	1
94	1
95	0
96	1
97	1
98	0
99	1
100	1
101	1
102	1
103	0
104	1
105	0
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	0
115	0
116	0
117	1
118	0
119	1
120	1
121	0
122	1
123	1
124	0
125	0
126	1
127	1
128	0
129	1
130	0
131	1
132	1
133	0
134	1
135	0
136	1
137	1
138	1
139	0
140	0
141	1
142	1
143	1
144	1
145	0
146	1
147	0
148	1
149	0
150	1
151	1
152	1
153	0
154	1
155	1
156	0
157	1
158	1
159	1
160	1
161	1
162	0
163	1
164	0
165	0
166	1
167	1
168	1
169	1
170	1
171	0
172	1
173	1
174	0
175	1
176	0
177	0
178	0
179	1
180	1
181	0
182	1
183	1
184	0
185	1
186	1
187	1
188	0
189	1
190	0
191	1
192	0
193	1
194	1
195	1
196	0
197	1
198	0
199	0
200	1
201	0
202	1
203	0
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	0
216	0
217	1
218	0
219	0
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	0
231	1
232	0
233	0
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	0
245	1
246	1
247	1
248	1
249	0
250	1
251	1
252	0
253	1
254	0
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	0
264	0
265	1
266	1
267	0
268	0
269	1
270	1
271	1
272	0
273	0
274	1
275	1
276	0
277	1
278	1
279	1
280	1
281	1
