994	1
2362	0
1975	1
930	1
2107	0
6538	1
282	1
1839	0
74	1
487	1
241	1
34	0
2987	0
319	1
2577	1
1583	1
243	1
2050	0
2714	0
998	0
1819	0
2689	1
399	1
2747	1
2748	1
2247	1
6695	0
2353	1
1473	0
2364	1
979	1
604	1
645	0
6714	1
1678	0
580	1
224	1
6056	1
259	1
2623	1
2781	1
1083	1
5752	1
760	1
1776	0
2704	1
5002	1
2158	1
2167	1
1333	1
1529	0
1340	1
741	1
2862	1
2648	1
1514	0
4491	1
1347	1
1795	1
5580	1
5338	1
1849	0
738	1
1025	1
1683	1
6609	1
1543	1
1636	1
1315	1
783	1
5065	1
2007	1
473	1
2095	1
289	1
56	1
766	0
1808	0
1563	1
1606	1
6029	1
6744	1
6568	1
3564	0
2833	0
2516	1
3190	1
443	1
6249	1
798	0
2078	1
4183	1
1954	1
1984	1
6180	1
6900	1
2039	1
1020	1
129	0
2178	1
1673	1
95	1
31	1
3269	1
6216	1
1360	0
4806	1
1671	1
2494	1
3483	1
6571	1
192	0
6606	1
839	1
4237	1
59	1
250	1
1890	1
2093	0
4162	1
6907	1
3809	1
1628	0
690	1
1941	1
6660	1
1760	1
3952	1
1446	1
313	1
2	0
6634	1
5419	0
2063	1
2108	0
2192	1
1882	1
1047	0
2872	1
103	1
6526	1
4244	1
5788	1
6598	1
907	1
509	1
2710	0
4820	1
2583	1
1756	1
1336	1
6509	1
110	1
456	0
2809	0
2999	1
1453	1
1515	1
2154	0
1926	1
1495	0
2009	1
5496	1
2776	1
862	1
971	1
2674	0
1247	0
5738	1
565	1
3404	1
2171	1
2056	1
6679	1
1267	0
2972	1
2978	1
6793	1
967	1
2738	1
2927	1
1611	0
1451	1
960	1
1809	1
1574	0
1085	1
1963	1
1198	1
750	1
6699	1
976	0
2376	1
164	1
3011	1
943	0
6903	0
6031	1
1737	0
1875	1
1891	0
538	0
1575	1
1792	1
510	0
6580	1
6488	1
578	0
2262	1
900	1
1775	1
6472	1
6445	1
6857	1
2707	1
838	1
542	1
1871	1
1897	1
2888	1
1972	1
2044	1
602	1
504	1
1394	1
670	1
2970	1
2322	0
3046	1
2572	1
1728	0
2563	1
2621	1
797	0
4555	1
1896	0
6770	1
6604	1
2880	1
6439	1
6034	1
2383	1
826	1
1346	1
1487	1
490	1
4808	1
2014	1
68	1
226	1
1913	0
2174	1
6880	1
2393	1
5535	1
290	0
1885	1
1092	1
722	1
6603	1
4376	1
597	1
4893	1
6420	1
1272	1
150	1
1970	1
1038	1
552	1
1546	1
1510	0
6661	1
1077	1
1853	1
6383	0
6693	1
489	0
3380	0
6381	1
3157	1
1800	1
1421	1
2868	0
2086	1
3027	1
1012	1
1862	0
1713	1
849	1
149	0
749	1
925	1
1555	1
183	1
989	1
1807	1
1964	1
62	1
2605	0
6233	1
1184	0
6514	1
2786	1
3148	0
2505	0
122	1
2617	1
286	1
2453	1
2060	1
2149	0
412	1
2347	0
1959	0
2962	1
2513	1
680	1
6925	1
2819	1
901	1
6839	1
2848	1
1738	1
2596	1
977	1
1230	1
1097	0
2821	1
2675	0
2465	0
43	1
4454	1
3435	1
848	0
3017	0
1256	0
2354	1
6436	1
4832	0
6898	1
2717	1
2211	0
6690	0
137	0
6767	1
1534	1
4381	1
119	1
1100	1
1734	1
1400	1
2051	1
939	1
6819	1
996	1
6529	0
2076	0
1848	1
1777	1
3189	1
398	1
407	0
4395	1
827	0
784	1
383	1
430	1
748	0
107	1
1618	1
88	1
2721	0
2073	0
6530	1
1605	0
6890	1
2598	1
5522	1
4715	1
5339	1
2398	0
2058	0
2196	1
1290	1
1523	1
2767	1
530	1
731	1
599	1
222	1
440	1
1080	0
6424	1
1015	1
1158	1
206	1
1435	0
3124	1
6546	1
785	1
6749	1
44	1
2013	1
2666	1
569	1
559	0
2737	0
6450	1
811	0
2452	1
4596	1
2522	1
1086	1
1243	1
1910	0
697	1
2205	1
799	0
1178	1
326	1
2828	0
2843	0
2625	0
6862	1
6868	1
1719	1
481	1
1180	0
3954	0
5807	1
2511	1
1680	1
2755	1
1944	1
6718	1
1835	1
6651	1
2850	0
1225	1
571	1
1780	1
2085	1
387	0
2698	1
1586	1
1700	1
1548	0
2520	1
208	1
2292	1
2753	1
1144	0
2216	1
1313	1
6791	1
264	1
992	1
2184	1
1402	1
5674	1
1991	1
5748	1
1579	0
3507	1
2236	1
2246	1
6586	1
531	0
6709	1
2275	1
677	1
1666	1
5884	1
1048	0
920	1
2771	1
186	1
865	1
6919	1
1328	0
312	1
1567	1
615	1
370	0
660	1
5703	1
235	0
267	1
2682	1
3730	0
6108	1
817	0
1464	1
4106	1
3537	1
2345	1
2982	1
1920	1
1829	0
1329	0
739	0
2136	0
1254	1
4265	1
1701	0
1812	1
2306	0
1263	1
2531	1
6567	1
361	1
1338	0
251	1
6605	1
1908	1
2953	1
4514	1
2806	0
1028	1
6748	1
2181	0
323	1
4865	1
5861	1
2581	1
1375	0
3143	1
1384	0
511	0
2342	1
2240	1
2939	1
608	1
1771	0
67	1
2115	1
6602	0
1374	1
2601	1
2404	1
362	0
5563	1
2071	0
381	1
1281	1
1039	1
1878	0
2299	1
1060	1
6735	1
1312	0
6717	1
2503	1
2228	1
6771	1
1524	1
2474	1
112	1
6825	1
736	1
547	1
1822	0
3060	1
2876	0
2985	0
893	0
2967	1
1362	0
978	1
575	1
1582	1
908	1
2780	0
1185	1
2147	0
724	1
1337	1
2746	1
5941	1
2043	1
1858	1
1409	0
2996	1
6848	1
6073	1
2818	0
6806	1
975	1
300	1
1416	0
6404	1
403	1
2295	1
2433	1
1117	0
266	1
6254	1
2727	0
281	1
1133	0
1658	0
909	1
321	1
6926	1
1096	1
2214	1
1544	0
1116	0
2736	0
1303	1
6790	1
141	0
291	0
4040	0
6689	1
6430	1
2690	0
2515	1
2482	0
515	1
2968	0
1433	0
493	1
2340	1
1471	1
2286	1
629	1
6797	1
966	1
2831	1
957	1
1707	0
1219	1
6533	1
1827	0
6555	1
6120	1
2159	1
6449	1
6799	1
1306	1
2479	1
6426	1
6657	1
3018	1
6454	1
6841	1
2099	0
1788	0
6583	1
2005	1
3012	0
1373	1
6927	1
2308	1
29	1
1994	0
130	1
1557	0
1602	1
1056	0
452	1
2915	1
211	1
6378	0
6462	1
555	1
718	1
867	1
2177	1
1909	0
1361	1
1870	1
45	1
746	1
328	1
1182	0
762	1
5209	1
1486	1
1193	1
1455	1
1711	1
413	0
2691	0
6796	1
465	1
2911	0
2493	1
3460	1
472	1
1490	0
28	1
2381	0
2232	1
433	1
6422	1
2940	0
6838	1
886	1
956	1
1201	0
6812	1
2126	1
1108	1
891	1
623	1
272	1
3042	1
613	1
2507	1
1960	1
483	0
756	1
371	1
6599	1
1722	1
898	1
6413	1
1936	1
2611	1
2401	1
1452	0
1187	1
696	1
3462	1
1069	1
917	1
771	1
2760	0
2193	1
108	1
3426	1
743	1
6417	1
1764	1
1506	0
2745	1
227	1
1863	1
1644	0
6885	1
1883	1
4822	1
2339	1
2925	1
2649	1
1558	1
1942	1
2793	1
1951	1
4004	1
468	1
135	0
1742	1
6372	1
22	1
2774	1
1052	1
1978	1
2374	1
288	1
390	1
4068	1
2341	1
6371	1
1035	1
6515	1
2803	1
6724	1
277	1
2219	1
713	1
81	1
1365	1
2980	1
6113	1
1167	1
2593	0
2797	1
1353	1
6803	1
1527	1
6002	1
2645	0
1326	0
140	1
246	1
1494	0
877	1
1467	1
143	0
6455	1
6466	1
733	1
2365	1
2382	0
6783	0
6691	1
6048	1
6408	1
2909	1
1828	1
2127	1
1591	1
5815	0
2225	1
3041	1
3037	0
1517	0
1237	1
6753	1
203	1
541	0
2133	0
1845	0
3413	1
6565	1
1541	1
431	1
2197	1
6849	1
2070	1
2647	1
6870	1
6874	0
2128	1
196	0
2030	1
41	1
2168	1
400	1
2123	0
1790	1
501	1
6814	1
1892	1
460	1
2585	0
6552	1
763	1
1286	0
6908	1
2932	1
6142	1
3048	1
1989	0
2310	1
6780	1
1119	1
1691	1
6928	1
6652	1
4037	1
2765	1
6107	1
815	1
6543	1
734	0
1497	1
516	1
1632	1
1132	1
1224	0
2387	0
2435	1
871	0
2573	1
1404	0
2420	1
5052	1
5221	1
833	1
3710	1
946	1
6653	1
2489	1
158	1
6757	1
1284	1
1226	0
1296	0
2375	0
457	1
1037	1
213	0
2343	1
1432	1
651	1
2425	1
2565	1
2873	0
3513	1
2886	1
6782	1
4749	1
2204	0
3	0
336	0
663	1
6470	1
6842	1
6523	1
2580	1
2001	1
1457	1
1881	1
1072	1
2350	1
776	1
1930	1
1642	0
619	1
2896	0
2958	1
6576	1
1349	0
4011	1
5443	1
507	1
1188	1
3571	1
6467	1
1317	0
1804	0
1635	1
497	1
435	1
2385	0
2548	1
6631	1
2258	1
237	1
5797	1
6756	1
2933	0
2568	1
6882	1
1236	1
2097	1
2802	1
607	1
1046	0
1753	1
6873	1
